Detector Type;descriptorType;matcherType;descriptorFamily;selectorType;;;;;
SHITOMASI;BRISK;MAT_BF;DES_BINARY;SEL_KNN;;Total Time;% Matched KeyPts;Average of total time over 10 images;Average % of Matched Kepts over 10 images
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;Total Time;;;
1;1327;54.7177;157;1.56026;137;56.27796;87.2611465;;
2;1311;52.7332;161;1.65227;125;54.38547;77.63975155;;
3;1351;54.0121;155;1.50451;129;55.51661;83.22580645;;
4;1360;54.2489;163;1.5716;129;55.8205;79.14110429;;
5;1347;53.1958;164;1.58783;131;54.78363;79.87804878;;
6;1363;48.663;173;1.71412;132;50.37712;76.30057803;;
7;1331;56.2905;175;1.6662;142;57.9567;81.14285714;;
8;1357;49.1947;177;1.69642;146;50.89112;82.48587571;;
9;1331;53.7249;179;1.70895;144;55.43385;80.44692737;;
AKAZE;BRIEF;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1351;45.9081;166;0.704283;0;46.612383;0;48.39;75.77
1;1327;47.1727;157;0.646668;141;47.819368;89.8089172;;
2;1311;43.0511;161;0.625024;134;43.676124;83.22981366;;
3;1351;49.1516;155;1.10172;131;50.25332;84.51612903;;
4;1360;52.2951;163;0.675258;130;52.970358;79.75460123;;
5;1347;46.2775;164;0.677432;134;46.954932;81.70731707;;
6;1363;43.4915;173;0.697964;146;44.189464;84.39306358;;
7;1331;44.223;175;0.663767;150;44.886767;85.71428571;;
8;1357;53.1146;177;0.676865;148;53.791465;83.61581921;;
9;1331;51.9954;179;0.706417;152;52.701817;84.91620112;;
AKAZE;ORB;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1351;51.094;166;2.51036;0;53.60436;0;49.8;70.78
1;1327;44.3772;157;2.54133;131;46.91853;83.43949045;;
2;1311;42.8616;161;2.32615;129;45.18775;80.1242236;;
3;1351;45.5964;155;2.72503;127;48.32143;81.93548387;;
4;1360;51.5436;163;2.57029;117;54.11389;71.7791411;;
5;1347;44.9416;164;2.49309;130;47.43469;79.26829268;;
6;1363;43.9198;173;2.34375;131;46.26355;75.72254335;;
7;1331;54.6931;175;2.31477;137;57.00787;78.28571429;;
8;1357;48.8856;177;2.39642;135;51.28202;76.27118644;;
9;1331;45.2745;179;2.56094;145;47.83544;81.00558659;;
AKAZE;FREAK;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1351;46.9711;166;33.2818;0;80.2529;0;85.04;71.02
1;1327;52.2181;157;32.3656;126;84.5837;80.25477707;;
2;1311;49.8045;161;32.4868;129;82.2913;80.1242236;;
3;1351;57.4275;155;33.3366;127;90.7641;81.93548387;;
4;1360;51.4706;163;31.6219;121;83.0925;74.23312883;;
5;1347;53.1961;164;33.996;122;87.1921;74.3902439;;
6;1363;49.4877;173;33.6935;133;83.1812;76.87861272;;
7;1331;57.9143;175;33.3599;144;91.2742;82.28571429;;
8;1357;50.4179;177;33.3761;147;83.794;83.05084746;;
9;1331;51.0988;179;32.9177;138;84.0165;77.09497207;;
AKAZE;AKAZE;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1351;51.678;166;41.3167;0;92.9947;0;84.43;75.35
1;1327;41.1831;157;32.4416;138;73.6247;87.89808917;;
2;1311;44.0977;161;56.1906;138;100.2883;85.71428571;;
3;1351;41.9576;155;38.0939;133;80.0515;85.80645161;;
4;1360;43.8285;163;43.4278;127;87.2563;77.91411043;;
5;1347;41.3087;164;38.8159;129;80.1246;78.65853659;;
6;1363;43.8641;173;37.9246;146;81.7887;84.39306358;;
7;1331;42.1524;175;48.4861;147;90.6385;84;;
8;1357;46.7512;177;37.3403;151;84.0915;85.31073446;;
9;1331;39.7117;179;33.7578;150;73.4695;83.79888268;;
AKAZE;SIFT;MAT_BF;DES_HOG;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1351;42.2865;166;15.1301;0;57.4166;0;64.22;75.98
1;1327;46.5829;157;14.5925;134;61.1754;85.35031847;;
2;1311;44.3118;161;14.5548;134;58.8666;83.22981366;;
3;1351;66.3538;155;25.0164;130;91.3702;83.87096774;;
4;1360;43.8629;163;15.8051;136;59.668;83.43558282;;
5;1347;45.3632;164;15.7491;137;61.1123;83.53658537;;
6;1363;47.1494;173;16.2299;147;63.3793;84.97109827;;
7;1331;41.924;175;17.8539;147;59.7779;84;;
8;1357;51.3259;177;17.0418;154;68.3677;87.00564972;;
9;1331;43.7761;179;17.2974;151;61.0735;84.3575419;;
